1,afeganistao
2,africa do sul
3,albania
4,alemanha
5,andorra
6,angola
7,antiga e barbuda
8,arabia saudita
9,argelia
10,argentina
11,armenia
12,australia
13,austria
14,azerbaijao
15,bahamas
16,bangladexe
17,bangladesh
18,barbados
19,barem
20,belgica
21,belize
22,benim
23,bielorrussia
24,bolivia
25,bosnia e herzegovina
26,botsuana
27,brasil
28,brunei
29,bulgaria
30,burquina faso
31,burundi
32,butao
33,cabo verde
34,camaroes
35,camboja
36,canada
37,catar
38,cazaquistao
39,chade
40,chile
41,china
42,chipre
43,colombia
44,comores
45,congo
46,congo brazzaville
47,coreia do norte
48,coreia do sul
49,cosovo
50,costa do marfim
51,costa rica
52,croacia
53,cuaite
54,cuba
55,dinamarca
56,dominica
57,egito
58,emirados arabes unidos
59,equador
60,eritreia
61,eslovaquia
62,eslovenia
63,espanha
64,estado da palestina
65,estados unidos
66,estonia
67,etiopia
68,fiji
69,filipinas
70,finlandia
71,franca
72,gabao
73,gambia
74,gana
75,georgia
76,granada
77,grecia
78,guatemala
79,guiana
80,guine
81,guine equatorial
82,guine bissau
83,haiti
84,honduras
85,hungria
86,iemen
87,ilhas marechal
88,india
89,indonesia
90,irao
91,iraque
92,irlanda
93,islandia
94,israel
95,italia
96,jamaica
97,japao
98,jibuti
99,jordania
100,kosovo
101,kwait
102,laus
103,lesoto
104,letonia
105,libano
106,liberia
107,libia
108,listenstaine
109,lituania
110,luxemburgo
111,macedonia
112,madagascar
113,malasia
114,malaui
115,maldivas
116,mali
117,malta
118,marrocos
119,mauricia
120,mauritania
121,mexico
122,mianmar
123,micronesia
124,mocambique
125,moldavia
126,monaco
127,mongolia
128,montenegro
129,namibia
130,nauru
131,nepal
132,nicaragua
133,niger
134,nigeria
135,noruega
136,nova zelandia
137,oma
138,paises baixos
139,palau
140,panama
141,papua nova guine
142,paquistao
143,paraguai
144,peru
145,polonia
146,portugal
147,quenia
148,quirguistao
149,quiribati
150,reino unido
151,republica centro africana
152,republica checa
153,republica tcheca
154,republica democratica do congo
155,republica dominicana
156,romenia
157,ruanda
158,russia
159,salomao
160,salvador
161,samoa
162,santa lucia
163,sao cristovao e neves
164,sao marinho
165,sao tome e principe
166,sao vicente e granadinas
167,seicheles
168,senegal
169,serra leoa
170,servia
171,singapura
172,siria
173,somalia
174,sri lanca
175,suazilandia
176,sudao
177,sudao do sul
178,suecia
179,suica
180,suriname
181,tailandia
182,taiua
183,tajiquistao
184,tanzania
185,timor leste
186,togo
187,tonga
188,trindade e tobago
189,tunisia
190,turcomenistao
191,turquia
192,tuvalu
193,ucrania
194,uganda
195,uruguai
196,usbequistao
197,uzbequistao
198,vanuatu
199,vaticano
200,venezuela
201,vietname
202,vietnan
203,zambia
204,zimbabue
